"x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"317","MITTELWIHR","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"318","MITTLACH","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","2","0","2","1","0","2","0","3","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","2","0","2","0","0","0","1","0","1","0","0","0","2","0","2","1","0","0","0","1","0","1","0","0","1","2","1","2"
"319","MITZACH","0","1","2","3","2","4","1","0","1","2","2","2","0","1","3","1","3","2","0","0","2","1","2","1","1","0","1","0","2","0","1","0","3","8","4","8","0","0","7","0","8","0","0","0","1","1","1","1","0","0","3","2","3","2","0","0","2","3","2","3","0","0","3","1","3","1","0","0","3","2","3","2"
"320","MODENHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"321","MOERNACH","0","0","0","1","0","1","0","0","0","1","0","1","0","0","1","2","1","2","0","0","0","0","0","0","0","0","0","2","0","2","1","0","2","4","3","4","1","0","1","1","2","1","0","0","2","2","2","2","0","2","1","0","1","3","0","1","2","1","2","2","0","0","1","2","1","2","0","0","0","0","0","0"
"322","MOLLKIRCH","7","10","48","50","68","84","16","7","65","74","102","95","17","11","60","37","91","74","23","7","67","53","108","91","14","7","66","38","93","58","13","14","78","55","110","84","28","8","80","52","129","74","20","11","98","60","130","86","12","11","57","39","84","57","21","16","68","52","101","74","17","11","60","49","87","75","18","9","64","66","95","87"
"323","MOLSHEIM","0","0","1","1","4","1","0","0","1","3","2","4","0","0","1","1","1","1","0","1","2","2","3","3","2","0","1","1","3","1","0","0","0","0","0","0","0","0","1","2","2","3","0","0","1","1","2","1","1","0","0","0","1","1","0","0","2","0","2","0","0","0","1","2","2","2","0","0","1","3","2","4"
"324","MOMMENHEIM","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"325","MONSWILLER","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","2","2","2","1","0","0","0","1","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","2","2","2","3","0","0","2","1","2","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1"
"326","MONTREUX JEUNE","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","3","1","3","1","0","0","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"327","MOOSCH","2","0","0","1","2","1","0","1","3","0","3","1","1","0","2","1","3","1","0","0","3","4","3","4","0","0","1","0","1","1","0","0","3","0","3","0","1","0","1","3","2","3","0","0","1","1","1","1","1","1","1","0","2","1","0","0","2","0","2","0","0","0","1","0","2","0","0","0","0","1","0","1"
"328","MORSBRONN LES BAINS","0","0","3","2","3","2","0","0","1","4","1","4","0","0","6","1","8","1","0","0","5","4","7","4","0","0","6","4","6","4","1","0","4","3","5","4","1","0","3","8","6","8","0","0","2","1","6","3","0","0","5","3","6","4","1","0","5","1","7","1","0","0","3","3","4","3","0","1","1","1","3","3"
"329","MORSCHWILLER","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","2","2","0","0","0","1","1","1","0","0","0","1","0","1","0","2","3","0","3","2","0","0","0","1","0","1"
"330","MORSCHWILLER LE BAS","0","0","1","2","2","2","0","0","1","1","2","2","0","0","1","1","1","1","1","1","1","1","2","4","2","1","3","1","5","2","1","1","1","2","2","3","0","0","1","0","2","1","0","0","0","1","0","1","0","1","1","3","1","4","1","0","0","0","1","0","0","0","0","1","0","1","0","0","3","0","3","0"
"331","MOTHERN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","1","1","1","1","0","0","1","1","2","1","0","0","1","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
"332","MUESPACH","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","3","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1"
"333","MUESPACH LE HAUT","0","0","1","1","1","1","0","0","0","0","2","0","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","2","0","2","1","0","0","1","0","1","0","0","0","0","1","0","1"
"334","MUESPACH-LE-HAUT","1","1","6","3","7","4","2","1","5","3","8","4","2","2","5","6","7","8","3","2","6","4","10","8","0","0","7","5","7","5","2","1","9","4","11","5","0","0","9","7","9","8","1","0","4","4","5","5","1","0","8","4","9","4","0","1","7","4","7","5","1","1","2","7","3","8","1","0","4","3","5","4"
"335","MUHLBACH SUR MUNSTER","0","0","2","1","2","1","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","2","1","2","0","0","3","1","3","1","0","0","0","0","1","0","0","1","0","2","0","3","0","0","1","0","1","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1"
"336","MULHOUSE","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","3","0","3","0","0","0","1","3","1","5","0","1","1","1","1","2","1","0","1","0","3","0","0","0","2","0","2","0","0","0","1","0","1","2","0","0","1","2","1","2","0","0","0","0","0","0","0","0","0","0","2","0"
"337","MUNCHHOUSE","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","2","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"338","MUNDOLSHEIM","0","0","1","0","2","1","0","0","0","0","0","1","1","0","2","1","3","1","0","0","1","0","2","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0"
"339","MUNSTER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"340","MUNTZENHEIM","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"341","MUNWILLER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","2","0","2","0","0","0","2","1","2","1","0","1","3","1","3","4","0","0","0","1","0","1","0","0","2","1","2","1","0","0","1","1","1","1","0","0","1","0","1","1","0","0","1","1","1","1"
"342","MUSSIG","0","0","0","1","1","1","0","0","0","1","0","2","0","0","1","2","1","2","0","1","1","0","1","1","0","0","2","2","2","2","0","0","0","1","0","2","0","0","1","2","2","2","0","0","0","1","1","2","1","0","1","1","2","1","0","0","0","2","0","4","0","0","1","0","1","1","0","1","1","0","1","2"
"343","MUTTERSHOLTZ","1","0","2","2","3","2","1","0","1","0","3","1","0","0","0","4","1","4","1","0","3","1","5","1","3","2","3","0","7","3","0","0","2","0","2","0","2","0","4","1","6","1","1","0","2","1","4","1","1","0","0","1","1","3","0","1","0","0","0","2","2","0","3","3","6","3","1","0","0","0","2","0"
"344","MUTZENHOUSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"345","MUTZIG","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"346","NAMBSHEIM","0","0","0","2","0","2","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","0","2","0","0","0","1","1","1","1","0","0","2","0","2","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","1","1","1","0","0","0","1","0","1"
"347","NEEWILLER PRES LAUTERBOURG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0"
"348","NEHWILLER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"349","NEUBOURG","0","0","0","0","1","2","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","2","3","2","0","4","2","6","2","1","0","4","0","6","0","0","0","1","0","1","0","0","0","1","1","1","1","0","0","3","0","3","0","0","0","0","0","0","1","0","0","0","1","0","3","0","0","0","2","0","2"
"350","NEUF BRISACH","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","2","1","2","2","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
"351","NEUVE EGLISE","1","1","8","6","11","11","0","0","3","5","3","5","0","0","6","8","10","11","1","0","6","6","11","7","0","0","4","3","4","4","2","1","6","2","9","3","2","2","3","7","7","10","2","1","2","2","9","3","0","0","10","6","13","6","1","2","7","5","8","8","0","1","1","2","1","7","0","1","7","2","8","5"
"352","NEUWILLER LES SAVERNE","2","1","4","0","7","2","1","1","3","2","4","4","0","1","1","2","1","4","2","0","1","0","5","0","4","1","4","3","9","4","5","1","2","5","7","6","4","0","1","4","5","5","1","1","1","2","4","7","2","2","2","1","4","6","2","0","2","0","4","0","2","0","2","1","4","1","1","1","1","1","3","2"
"353","NIEDERBRONN LES BAINS","1","2","7","4","8","6","0","0","3","3","3","3","2","0","3","5","5","5","2","0","6","7","8","7","2","0","3","2","5","2","1","1","7","4","8","5","0","0","6","3","6","3","1","1","3","2","5","3","0","0","2","7","3","7","0","2","2","3","2","6","1","0","5","3","6","3","1","0","4","4","5","5"
"354","NIEDERENTZEN","0","0","0","0","0","0","0","0","1","1","1","1","0","0","2","0","2","0","1","0","0","0","2","1","1","0","0","1","1","1","1","0","1","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","3","0","0","1","0","1","0","0","0","2","1","2","1"
"355","NIEDERHERGHEIM","0","1","1","0","1","1","0","0","2","1","2","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","2","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0"
"356","NIEDERLAUTERBACH","0","0","4","4","6","4","0","1","6","2","6","4","2","1","7","2","10","3","3","1","8","5","12","7","1","1","7","4","8","6","2","0","7","2","11","4","1","0","7","3","10","4","2","0","6","2","10","3","1","0","4","2","5","6","0","0","2","2","6","4","0","0","4","2","6","2","0","0","5","2","7","2"
"357","NIEDERMODERN","0","0","2","1","2","4","0","1","0","1","0","2","0","0","1","1","1","1","0","0","2","0","2","1","0","0","0","1","0","1","0","0","1","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","3","1","0","0","0","1","0","1","0","0","0","0","0","0"
"358","NIEDERMORSCHWIHR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","2","0","2","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","1","2","1","2","0","0","1","1","1","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"359","NIEDERNAI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"360","NIEDERROEDERN","0","0","0","1","0","1","1","0","0","0","1","0","1","0","0","1","2","1","0","0","0","1","0","1","0","0","1","1","1","2","1","0","0","1","1","2","0","0","1","1","1","1","0","0","1","0","2","0","0","0","0","0","0","0","0","1","1","2","1","3","0","0","2","0","2","0","0","0","1","1","1","1"
"361","NIEDERSCHAEFFOLSHEIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"362","NIEDERSTEINBACH","1","1","1","0","3","1","0","0","0","2","1","3","0","0","0","1","1","2","0","0","5","1","7","3","1","0","3","0","5","1","0","0","7","3","10","3","0","1","2","4","2","5","0","0","1","2","2","3","0","0","2","2","2","3","2","0","1","2","3","3","1","0","0","0","1","0","2","0","4","1","6","2"
"363","NIFFER","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","1","0","1","0","0","5","1","6","1","0","0","2","1","3","2","0","0","7","3","7","4","0","0","2","0","2","1","0","0","1","0","2","1","0","0","1","3","2","5","0","0","2","2","2","2","0","1","1","1","2","2","0","0","0","1","0","2"
"364","NORDHEIM","0","1","1","1","1","3","0","0","2","1","2","1","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","2","2","2","0","1","3","4","5","6","0","0","3","1","3","1","1","0","3","0","4","0","1","0","1","2","4","2","0","1","1","4","1","6","1","0","1","1","2","1","1","0","1","0","2","0"
"365","NORDHOUSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"366","NOTHALTEN","0","0","0","1","2","1","0","0","3","1","3","2","0","0","3","1","3","1","1","1","3","1","5","2","0","0","1","1","2","2","0","0","0","2","1","2","0","0","4","0","5","4","0","0","7","2","8","3","0","0","7","3","9","4","0","1","1","2","2","6","0","1","6","3","6","5","1","1","6","2","10","5"
"367","OBERBRONN","0","0","0","1","0","1","0","1","1","0","3","4","0","0","2","1","2","2","1","0","0","1","1","1","0","0","5","3","5","4","0","0","2","4","2","6","0","0","2","3","3","4","0","0","3","0","4","2","0","0","3","1","4","2","0","0","1","3","1","4","0","0","1","1","1","1","0","3","1","4","1","7"
"368","OBERBRUCK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"369","OBERDORF SPACHBACH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2","0","2","0","0","0","0","0","0"
"370","OBERENTZEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","3","0","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"371","OBERHAUSBERGEN","1","1","1","4","2","6","1","0","2","0","5","1","1","0","2","5","4","7","1","0","3","5","5","6","1","2","2","5","4","7","0","0","7","4","8","6","0","0","6","1","7","2","0","1","6","7","7","10","0","1","4","4","5","8","1","0","3","4","5","7","1","0","5","3","6","6","0","1","2","6","3","11"
"372","OBERHERGHEIM","0","0","6","0","8","0","0","0","2","5","3","6","1","0","1","1","2","6","0","0","2","5","4","6","1","0","3","5","4","5","1","0","3","4","4","6","0","0","4","1","6","2","0","0","1","1","2","4","2","0","5","5","8","7","0","0","1","3","2","4","1","1","4","4","5","5","0","0","1","5","2","5"
"373","OBERHOFFEN LES WISSEMBOURG","0","0","1","0","1","0","0","0","1","0","1","0","2","0","0","0","2","0","0","0","1","0","1","0","0","0","1","2","1","2","0","0","0","0","0","0","0","0","3","3","3","3","0","0","3","3","3","3","0","0","1","0","1","0","0","0","1","2","1","4","1","0","1","1","2","1","0","0","2","1","2","1"
"374","OBERHOFFEN SUR MODER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"375","OBERLAUTERBACH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0"
"376","OBERMODERN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"377","OBERMODERN ZUTZENDORF","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","1","0","0","0","2","1","2","1","0","0","1","0","2","0","0","0","2","1","2","1","1","0","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"378","OBERMORSCHWIHR","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"379","OBERMORSCHWILLER","1","0","2","0","3","1","0","0","1","0","1","0","0","0","1","0","1","1","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","2","1","2","0","0","1","1","1","1"
"380","OBERNAI","0","0","2","0","2","1","0","1","1","1","1","3","0","0","0","1","0","3","0","0","3","1","3","2","0","0","1","2","1","3","0","0","8","1","8","2","0","0","3","1","3","1","0","0","3","1","4","1","0","0","5","2","6","3","0","0","0","2","0","3","0","0","2","2","2","2","0","0","1","2","1","3"
"381","OBERROEDERN","2","1","0","1","2","2","1","0","0","2","1","2","0","1","3","0","3","2","1","0","1","0","2","1","1","0","0","0","2","0","0","1","1","3","1","6","1","0","2","3","4","3","2","0","2","2","4","2","1","1","1","0","2","1","2","1","2","1","4","2","0","0","0","0","2","1","1","0","2","0","4","0"
"382","OBERSAASHEIM","0","0","3","0","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","3","1","1","0","1","0","2","1","0","1","3","2","3","4","0","0","1","2","1","2","0","0","0","2","0","2","0","0","1","2","2","3","0","0","2","1","2","2","0","0","0","1","1","2","0","0","2","3","2","3"
"383","ODEREN","10","6","9","8","23","17","3","1","4","5","11","6","3","0","8","3","14","4","2","3","8","9","10","12","3","1","4","3","11","5","7","4","12","3","25","15","3","3","15","9","20","14","9","1","6","8","17","9","2","3","12","5","15","12","10","2","13","4","27","13","8","3","10","3","22","7","5","9","11","9","22","19"
"384","OERMINGEN","2","0","2","1","6","2","2","1","5","2","7","4","3","1","1","0","4","1","0","2","2","3","3","5","0","0","1","4","3","4","5","2","4","0","10","2","4","2","6","1","11","3","0","0","2","1","2","1","2","3","3","1","5","4","2","1","4","4","6","5","2","0","2","3","6","5","0","1","3","1","3","2"
"385","OFFENDORF","1","0","1","1","2","1","1","0","1","0","3","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0","1","1","2","1","0","0","0","2","1","3","0","0","1","0","1","0","0","0","1","0","2","0","1","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","2","2"
"386","OFFWILLER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"387","OHLUNGEN","6","1","24","18","30","20","3","1","28","29","31","30","9","3","9","12","18","16","7","1","34","20","41","22","7","4","28","10","36","14","5","0","33","10","38","12","4","2","22","24","26","28","5","6","21","20","26","26","3","3","23","21","26","24","2","1","23","18","28","20","2","0","23","15","26","15","2","2","25","17","29","19"
"388","OHNENHEIM","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","1","3","1","0","0","2","0","2","1","0","0","0","1","0","1","0","0","0","1","0","1","0","0","3","3","3","3","0","0","3","0","3","0","0","0","3","0","3","0","0","0","1","1","2","1","0","0","1","1","1","1","0","1","2","2","2","3"
"389","ORBEY","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1"
"390","ORSCHWIHR","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"391","ORSCHWILLER","0","0","1","1","1","1","0","0","0","0","0","0","1","0","1","0","3","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","1","0","2","0","4","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","0","0","0","0","0","0"
"392","ORSCHWIR","0","1","0","0","0","1","0","1","1","0","1","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0"
"393","OSENBACH","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","1","0","0","1","1","1","2","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"394","OSTHEIM","2","0","6","0","9","1","1","2","3","2","4","4","0","0","2","2","4","4","1","0","6","3","7","3","0","0","4","2","6","3","0","0","8","2","9","2","0","0","2","2","3","4","2","1","4","3","7","4","0","0","3","2","6","5","0","0","5","1","7","2","2","0","2","1","5","1","0","0","2","1","3","1"
"395","OSTHOUSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"396","OSTWALD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"397","OTTMARSHEIM","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"398","OTTROTT","0","0","1","1","1","1","1","0","0","1","2","1","0","0","0","1","0","1","0","1","5","2","7","3","0","1","0","5","0","8","0","1","5","2","5","5","1","0","4","4","5","5","0","0","2","2","2","2","0","0","2","1","2","1","1","0","7","1","8","1","0","1","1","4","1","5","0","0","2","2","4","4"
"399","PETIT LANDAU","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"400","PFAFFENHEIM","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","3","2","0","1","0","3","0","2","0","2","0","4","0","0","1","4","0","4","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0"
"401","PFAFFENHOFFEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"402","PFASTATT","7","1","12","13","20","16","4","1","10","15","17","18","3","0","16","11","21","15","0","2","28","12","31","17","1","1","28","13","33","19","2","1","32","14","36","16","1","3","36","20","41","27","0","2","28","10","30","20","0","3","28","10","33","19","0","1","19","14","21","17","2","1","15","15","18","23","2","3","10","16","16","23"
"403","PFETTISHEIM","2","3","32","15","37","29","2","7","25","26","34","38","4","1","34","25","48","30","2","6","36","25","43","38","1","1","28","25","37","34","2","0","38","22","48","29","3","4","31","32","37","42","4","3","32","28","38","34","0","1","44","31","47","40","3","2","23","34","30","41","1","6","22","22","26","34","3","2","32","30","37","38"
